ID,VerseID,Word,Meaning
456,"1صم26: 20","الحجل","طائر برى"
457,"2صم1: 9","الدوار","الدوخة"
458,"2صم1: 21","مجن","الة حربية يحتمى بها خلفها المحارب"
459,"2صم2: 31","مئين","مئة"
460,"2صم5: 23","البكا","نوع من الشجر"
461,"2صم6: 4","الاكمة","التل"
462,"2صم6: 6","انشمصت","ذعرت و هاجرت تعثرت"
463,"2صم6: 20","السفهاء","جمع سفيه = خليع - تافه"
464,"2صم7: 8","المربض","المكان الذى تستلقى فيه البهائم"
465,"2صم10: 4","استاههم","منتص ظهورهم"
466,"2صم11: 8","حصة","هدايا"
467,"2صم12: 24","سليمان","اسم عبرى معناه رجل سلام"
468,"2صم12: 25","يديديا","اسم عبرى معناه محبوب يهوه"
